,,,,
,,,,
,問い合わせ内容,種類,回答,対応、留意点
,商品の発送、配送はいつになりますか？,通常の場合,"この度はご購入頂きましてありがとうございます。商品お待たせしており申し訳ございません。
倉庫に確認を取りましたところ、下記のスケジュールを予定しているとのことでございました。

最終発送日: 
お届け予定日: 

また弊社は「アマゾンジャパン・ロジスティックス」というアマゾン合同会社の商品管理と配送を代行する物流サービスを利用しております。
そのため、出荷元に「アマゾン合同会社」の表記がございますが、お買い求めいただいた商品は、弊社の商品に間違いございませんので、ご安心ください。
発送の連絡が取れ次第、改めてご連絡させていただきます。お届けまで今しばらくお待ちくださいませ。
",
,,繁忙期の場合,"この度はご注文いただきました商品のお届けが遅れておりますこと、心よりお詫び申し上げます。
現在、弊社が利用しておりますロジスティックスサービス（アマゾン合同会社の商品管理と配送を代行する物流サービス）の倉庫が繁忙期のため通常よりもお届けにお時間が掛かっており、
お客様にご迷惑、ご不便をおかけしておりますこと誠に申し訳ございません。
お届け予定日は下記の日程を見込んでおります。
出荷予定日: 
最新のお届け日:
問題解決に向けて全力で対応しております。
お忙しいところ恐縮ですが、到着まで今しばらくお待ちくださいませ。
ご希望の日にち間に合わないなどあれば取引キャンセルさせて頂きますのでおっしゃって頂ければと思います。
ご迷惑おかけし申し訳ありませんが宜しくお願いいたします。",
,,システムエラーで遅延の場合,"お世話になっております。
お客様のご注文に関しまして、弊社システムエラーにて未発送状態となっておりましたため手動にて急ぎ発送進めさせて頂きました。
お客様には、ご迷惑をお掛けし申し訳ございません。
ご注文商品を一日でも早くお届けできるよう努めておりますので、今しばらくお待ちいただければ幸いです。
お届け予定日が確定次第、改めてご連絡させていただきます。",
,,誤配送による到着日時遅延の案内,"この度は、弊社商品をご購入いただき、誠にありがとうございます。

現在、配送センターでの仕分け作業に不備があり、商品の配送業者が誤って異なる地域へ発送されてしまったことが判明いたしました。ただいま、正しい地域への転送手配を進めておりますが、お届けまでに数日お時間をいただく場合がございます。なお、転送後も伝票番号に変更はございませんので、配送状況については、引き続きご利用の配送業者にお問い合わせいただければ幸いです。

お客様にはご迷惑をおかけし、心よりお詫び申し上げます。
",
,発送完了報告,,"お世話になっております。ご注文いただきました商品を発送いたしました。
お急ぎのところ恐縮ですが、到着まで今しばらくお待ちください。
下記が追跡情報となります。 
（追跡情報を記載）
",
,適合確認・商品の仕様について聞かれた場合,車・バイク関連,"お問い合わせいただきありがとうございます。
誠に申し訳ございませんが、商品説明に記載されている内容以上の適合可否につきましてはお答えできかねます。商品説明を参考に、お客様ご自身でご判断いただければ幸いです。
ご期待にお応えすることができず心よりお詫び申し上げますが、引き続きご検討くださいますようお願い申し上げます。",
,,その他,"お問い合わせいただきありがとうございます。
申し訳ございませんが、説明に記載されている以上の情報はご提供できかねます。
商品説明内容をご参考にご判断いただければと思います。
ご期待に沿えず申し訳ございませんが、引き続きご検討の程をよろしくお願いいたします。",
,商品の質問に関してすぐに回答するのが難しい場合,ラクマート通常運行時,"お世話になっております。
お問い合わせ内容につきまして、商品管理担当者に確認させていただき、改めてご連絡させていただきます。
ご不便をお掛けしもうしわけございませんが、今しばらくお待ちくださいませ。
",チャットワークで質問する。
,,ラクマート休業時,"お世話になっております。 
お問い合わせいただき、ありがとうございます。
ご連絡の内容につきまして商品管理担当者に確認させていただき、改めてご連絡させていただきます。
現在商品管理担当部署が休業中でございます。
そのため、誠に恐縮ではございますが、回答は休み明けとなります。
お待たせしてしまい申し訳ございませんが、何卒ご理解いただけますと幸いです。",ラクマートが再開したらチャットワークで質問する。
, 車検に対応していますか？,,"お問い合わせいただきありがとうございます。
各地域によって保安基準や裁量が異なる場合もあり、車検適合可否に関しましては当店での責任は負いかねます。予めご了承ください。
車検を受けられる際は、通常装着されている純正品にお戻し頂くなど、適宜購入者様側にてご判断のうえご対応くださいますようお願い致します。
それでは、引き続きご検討のほど、宜しくお願い致します。",
